PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF ,PER,2019-20 Salary,2020-21 Salary,2021-22 Salary,2022-23 Salary,2023-24 Salary,2024-25 Salary,Signed Using,Guaranteed,Season
Aaron Gordon,ORL,24,62,30,32,32.5,108.6,109.7,-1.2,16.5,2.28,19.1,5,18.1,11.4,8.4,48.4,51.6,20.5,99.72,10.4,14.4,5.4,12.4,43.7,1.2,3.8,30.8,2.4,3.6,67.4,1.7,5.9,7.7,3.7,1.6,0.8,0.6,2,31.9,20,1,-1.1,20.5,19.5,20.5,15.9,17.8,23.5,26.3,26,25.2,25.4,21.1,19.3,16.2,18.3,22.2,17.6,26.7,19.7,9.3,7.5,7.6,31.3,0.088,15.18,19863636,18136364,16409091,,,,Bird Rights,54409091,2020
Aaron Holiday,IND,23,66,42,24,24.5,109.1,106.9,2.2,18.8,2.56,24.6,1.3,7.7,4.6,9.6,49.1,52.1,18.2,100.31,7.8,9.5,3.5,8.5,41.4,1.3,3.3,39.4,1.1,1.3,85.1,0.3,2,2.4,3.4,1.3,0.8,0.2,1.8,19.3,3,0,1.7,18.2,16.3,18.8,23.4,22.9,15.4,14.1,7.4,11.5,10.7,25.7,21,22.8,9,17.8,18.5,18.1,16.9,7.2,7.1,7.2,23.9,0.086,11.64,2239200,2345640,3980551,,,,1st Round Pick,4584840,2020
Abdel Nader,OKC,26,55,37,18,15.8,100.9,105.2,-4.2,6.8,0.88,10.3,1.6,9.5,5.6,11.6,55.9,59.1,16.4,101.79,7.2,6.3,2.2,4.8,46.8,0.9,2.3,37.5,0.9,1.2,77.3,0.3,1.6,1.8,0.7,0.8,0.4,0.4,1.4,11.1,0,0,-1.5,16.4,18,17.1,28.9,25.3,16.1,16.2,10.3,14.2,13.5,9.5,16.6,17.7,19.6,13.3,22.5,13.5,18.6,5.5,3.8,3.6,15.8,0.065,11.36,1618520,1752950,,,,,Cap Space,1618520,2020
Al Horford,PHI,34,67,39,28,30.2,110.1,106.8,3.3,18.7,3.38,24.7,5.1,17.1,11.1,7.3,52,53.6,17.3,100.63,11.2,11.9,4.8,10.6,45,1.5,4.2,35,0.9,1.2,76.3,1.5,5.3,6.8,4,1.2,0.8,0.9,2.1,30,6,0,1.9,17.3,18.1,19.2,19.5,20.9,9.6,9.4,25.2,23.5,23.9,23.5,13.3,15.5,29.8,14.8,16.7,11.6,17.1,10,7,8.4,30.7,0.108,15.74,28000000,27500000,27000000,26500000,,,Cap Space,97000000,2020
Alec Burks,PHI,28,66,21,45,26.6,103.5,109.8,-6.3,17.9,2.08,16.3,2.5,13.1,7.7,7.8,49.3,56.1,23,101.88,11.9,15,4.9,11.6,41.8,1.8,4.6,38.5,3.6,4,88.7,0.7,3.5,4.3,2.9,1.4,0.9,0.3,1.9,26.7,1,0,-3.4,23,23.4,24.1,29.7,27.2,32.6,30,12.8,19.4,17.9,21.9,17.5,21.8,9.9,22.8,17.6,26.9,25.7,9.7,7,8.3,26.7,0.072,16.78,2320044,,,,,,Minimum Salary,2320044,2020
Alex Caruso,LAL,26,64,48,16,18.4,110.8,101,9.8,13.8,2.34,24.3,1.4,8.5,5.1,10.4,48.1,52.5,13.6,102.84,7.2,5.5,1.9,4.5,41.2,0.6,1.9,33.3,1.1,1.5,73.4,0.3,1.7,1.9,1.9,0.8,1.1,0.3,1.5,14,0,0,3.8,13.6,11.8,13.9,15,16.1,14.1,13.7,7.3,12.4,11.3,20.6,14.9,31.4,12.1,25.3,19.3,18.6,12.5,6.1,4.4,4.8,16.9,0.098,10.79,2750000,2750000,,,,,Room Exception,5500000,2020
Alex Len,SAC,27,55,18,37,17.6,102.3,107.8,-5.4,8.3,0.91,10.6,9.4,20.2,14.9,11.7,58,60,17.6,104.7,11.8,8,3.2,5.8,55.5,0.3,1.1,27.1,1.2,1.9,64.8,1.8,4,5.8,0.9,1,0.4,0.9,2.3,19.2,8,0,-2,17.6,22.6,17.7,6.6,7.9,18.8,22.7,48.8,29.4,33.6,10.5,16.7,15.6,42.1,21.4,27.9,21.2,20.2,7.1,5,5.3,17.5,0.06,17.72,4160000,,,,,,Room Exception,4160000,2020
Andre Drummond,CLE,26,57,21,36,33,107,112,-5,13.3,0.75,12,12.9,33.6,22.9,16,53.6,55.3,25.3,98.8,15.3,17.7,7.3,13.8,53.3,0.1,0.6,14.3,3,5.2,57.5,4.4,10.8,15.2,2.7,3.6,1.9,1.6,3.5,47,47,0,-3.4,25.3,26.7,23.1,1.2,3,29.4,36.5,60.1,48.6,51.5,16.2,32.4,37.2,51.1,39.4,27.3,34.2,24.4,12.8,8.6,9.6,36,0.066,22.08,27093019,28751775,,,,,Cap Space,27093019,2020
Andrew Wiggins,GSW,25,54,15,39,34.4,107.7,112.8,-5.1,18,1.5,13.9,3.3,11,7,9.3,50.4,53.6,26.9,103.46,10.4,21.8,8.1,18.1,44.7,2.1,6.2,33.2,3.5,5,70.9,1.2,3.9,5.1,3.7,2.4,0.8,1,2.4,36.3,4,1,-3.7,26.9,28.5,28.4,22.8,22.7,25,27.3,15.7,16,15.9,20.9,22.5,15,22.9,28.6,15.6,25.4,27.2,13.5,9.5,10,34.5,0.062,16.44,27504630,29542010,31579390,33616770,,,1st Round Pick,122242800,2020
Anfernee Simons,POR,21,70,32,38,20.7,105.9,113.4,-7.6,9.8,1.59,13.2,1.5,8,4.7,8.3,46.9,50.2,18,103.09,5.5,8.3,3.1,7.7,39.9,1.1,3.2,33.2,1.1,1.3,82.6,0.4,1.8,2.2,1.4,0.9,0.4,0.1,1.9,13.6,1,0,-3.5,18,17.8,19.5,20.4,22.1,14.8,14.2,7.7,12,11,17.2,15,16,5.9,23.5,18.7,13.3,17.6,6.9,6.6,6.3,20.6,0.033,9,2149560,2252040,3938818,,,,1st Round Pick,4401600,2020
Anthony Davis,LAL,27,62,46,16,34.4,111.3,106.4,5,15.3,1.3,12,6.5,19.7,13.1,9.3,53.6,61,28.4,102.47,17.9,26.1,8.9,17.7,50.3,1.2,3.5,33,7.2,8.5,84.6,2.3,7,9.3,3.2,2.5,1.5,2.3,2.5,50.9,29,0,3.9,28.4,29.7,28.2,15.2,15.9,50,44.4,30.7,27.9,28.6,17.2,22.4,22.8,47,24.1,17.5,40,31.9,12.8,8.3,12.6,33,0.127,27.5,27093019,28751775,,,,,1st Round Pick,27093019,2020
Anthony Tolliver,MEM,35,55,24,31,15.9,105.5,111.6,-6,6.4,1.24,15.5,3.5,13,8.2,12.5,49.2,51.3,10.8,103.58,4.9,3.6,1.2,3.3,35.7,0.9,2.6,33.8,0.4,0.5,72.4,0.6,2.2,2.8,0.8,0.6,0.3,0.2,1.3,9.2,1,0,-1.9,10.8,9,11.1,20.7,21.6,7,7.3,19.5,19.4,19.5,11.1,13.8,14.2,12.6,7.2,18.6,8.8,10.1,4.5,4.6,4.9,15.8,0.034,7,289803,,,,,,Minimum Salary,289803,2020
Aron Baynes,PHX,33,42,19,23,22.2,110.2,111.7,-1.5,10.8,1.34,12.7,7.5,17.8,12.6,9.5,55.8,58.1,20.5,103.02,9.4,11.5,4.4,9.1,48,1.4,4,35.1,1.3,1.8,74.7,1.7,4,5.6,1.6,1.2,0.2,0.5,3.4,21.8,3,0,-1.1,20.5,22.8,22.2,25.3,25.1,15.5,17,37,24.9,27.6,12.3,17.1,7.8,36.5,17.6,30.2,21.9,21.8,8.1,6,5.7,21.8,0.047,15.22,5453280,,,,,,Non-Bird Exception,5453280,2020
Austin Rivers,HOU,27,68,43,25,23.4,112.9,110.4,2.6,9.8,2.26,15.9,1.6,8.9,5.1,7,51.7,54.2,15.3,105.87,6.3,8.8,3.1,7.4,42.1,1.4,4,35.6,1.1,1.6,70.3,0.4,2.2,2.6,1.7,0.7,0.7,0.1,1.9,16.2,0,0,1.2,15.3,15.5,16.7,17.3,17.4,11.5,13,9.2,13.4,12.5,16.4,10.9,17.3,6.7,17.8,17.8,15,15,8.4,6.5,6.9,25.8,0.059,10.47,2174318,2369663,,,,,Minimum Salary,2174318,2020
Avery Bradley,LAL,29,49,36,13,24.2,111.3,104,7.4,7,1.34,12.5,1.5,7.7,4.7,9.3,52.6,53.7,15.3,103.08,5.5,8.6,3.5,7.8,44.4,1.3,3.5,36.4,0.4,0.5,83.3,0.4,2,2.3,1.3,1,0.9,0.1,2.2,15.4,0,0,3.7,15.3,15.8,17.6,23.8,23.5,4.7,4.2,6.9,11,10.1,9.7,11.9,20.1,3,25.8,20.4,5.3,14.9,9.2,6.2,10.1,24.4,0.108,8.92,4767000,5005350,,,,,Room Exception,9772350,2020
Bam Adebayo,MIA,22,72,44,28,33.6,112.6,107.7,5,23.8,1.8,24,7.7,22.4,15.3,13.3,55.8,59.8,21.2,98.36,14.7,15.9,6.1,11,55.7,0,0.2,14.3,3.7,5.3,69.1,2.4,7.8,10.2,5.1,2.8,1.1,1.3,2.5,40.3,40,3,3.4,21.2,22.1,19,0.3,0.9,27.3,30.7,44.7,31,33.5,27.8,28.8,23.1,41.5,28.4,19.1,30.1,20.5,11.7,8.4,7.4,30.2,0.11,20.36,3454080,5115492,,,,,1st Round Pick,8569572,2020
Ben McLemore,HOU,27,71,44,27,22.8,114.2,109.2,5,5,1.16,8.5,1.2,7.9,4.5,7.3,61,62.2,15.7,105.17,6.6,10.1,3.4,7.7,44.4,2.5,6.4,40,0.7,0.9,74.6,0.3,1.9,2.2,0.8,0.7,0.6,0.2,2.2,15.8,1,0,2.6,15.7,17.4,17.9,30.7,27.7,7.3,7.9,6.6,12.1,10.9,7.9,10.5,15.3,9.8,13,20.9,9.1,17.6,8.4,6.6,6.8,25,0.065,11.86,2028594,2283034,,,,,Minimum Salary,2028594,2020
Ben Simmons,PHI,23,57,35,22,35.4,109.1,107.3,1.7,33.5,2.28,31.6,5.4,15.9,10.7,13.9,58.1,60.2,20.6,101.09,14.2,16.4,6.6,11.4,58,0,0.1,28.6,3.2,5.2,62.1,2,5.8,7.8,8,3.5,2.1,0.6,3.3,42.3,31,6,1.1,20.6,21.6,17.5,0.4,0.5,26.9,31.7,26.3,22.1,23,40.5,33,33.5,14.7,19.8,20.9,32.9,20.3,12.1,8.7,10.5,34.5,0.122,20.47,8113930,29250000,31590000,33930000,36270000,38610000,1st Round pick,177763930,2020
